condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
A3,0.0000,0,1.000000,0,15
A3,0.0000,1,1.000000,0,15
A3,0.0000,2,1.000000,0,15
A3,0.0000,3,1.000000,0,15
A3,0.0000,4,1.000000,0,15
A3,0.0000,5,1.000000,0,15
A3,0.0000,6,1.000000,0,15
A3,0.0000,7,1.000000,0,15
A3,0.0000,8,1.000000,0,15
A3,0.0000,9,1.000000,0,15
A3,0.0000,10,1.000000,0,15
A3,0.0000,11,1.000000,0,14
A3,0.0000,12,1.000000,0,15
A3,0.0000,13,1.000000,0,15
A3,0.0000,14,1.000000,0,15
A3,0.0000,15,1.000000,0,15
A3,0.0000,16,1.000000,0,15
A3,0.0000,17,1.000000,0,14
A3,0.0000,18,1.000000,0,14
A3,0.0000,19,1.000000,0,15
A3,0.0000,20,1.000000,0,14
A3,0.0000,21,1.000000,0,14
A3,0.0000,22,1.000000,0,14
A3,0.0000,23,1.000000,0,15
A3,0.0000,24,1.000000,0,14
A3,0.0000,25,1.000000,0,15
A3,0.0000,26,1.000000,0,14
A3,0.0000,27,1.000000,0,14
A3,0.0000,28,1.000000,0,15
A3,0.0000,29,1.000000,0,15
A3,0.0000,30,1.000000,0,15
A3,0.0000,31,1.000000,0,15
A3,0.0000,32,1.000000,0,15
A3,0.0000,33,1.000000,0,15
A3,0.0000,34,1.000000,0,15
A3,0.0000,35,1.000000,0,15
A3,0.0000,36,1.000000,0,15
A3,0.0000,37,1.000000,0,14
A3,0.0000,38,1.000000,0,15
A3,0.0000,39,1.000000,0,14
A3,0.0000,40,1.000000,0,15
A3,0.0000,41,1.000000,0,15
A3,0.0000,42,1.000000,0,15
A3,0.0000,43,1.000000,0,15
A3,0.0000,44,1.000000,0,15
A3,0.0000,45,1.000000,0,15
A3,0.0000,46,1.000000,0,15
A3,0.0000,47,1.000000,0,14
A3,0.0000,48,1.000000,0,15
A3,0.0000,49,1.000000,0,15
A3,0.0000,50,1.000000,0,15
A3,0.0000,51,1.000000,0,15
A3,0.0000,52,1.000000,0,15
A3,0.0000,53,1.000000,0,15
A3,0.0000,54,1.000000,0,14
A3,0.0000,55,1.000000,0,15
