condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
C3,0.0000,0,0.967300,0,20
C3,0.0000,1,0.380700,0,23
C3,0.0000,2,0.504000,0,21
C3,0.0000,3,0.436500,0,23
C3,0.0000,4,0.749600,0,23
C3,0.0000,5,0.840600,0,21
C3,0.0000,6,0.702800,0,22
C3,0.0000,7,0.576600,0,23
C3,0.0000,8,0.504000,0,21
C3,0.0000,9,0.918000,0,20
C3,0.0000,10,0.053000,1,19
C3,0.0000,11,0.999400,0,15
C3,0.0000,12,0.878700,0,24
C3,0.0000,13,0.836700,0,21
C3,0.0000,14,0.624900,0,24
C3,0.0000,15,0.982400,0,18
C3,0.0000,16,0.418300,0,22
C3,0.0000,17,0.997700,0,17
C3,0.0000,18,0.989500,0,18
C3,0.0000,19,0.413700,0,24
C3,0.0000,20,0.999600,0,15
C3,0.0000,21,0.999600,0,15
C3,0.0000,22,0.999600,0,15
C3,0.0000,23,0.470100,0,24
C3,0.0000,24,0.999200,0,15
C3,0.0000,25,0.670600,0,22
C3,0.0000,26,0.999700,0,15
C3,0.0000,27,0.997700,0,17
C3,0.0000,28,0.407000,0,22
C3,0.0000,29,0.982400,0,18
C3,0.0000,30,0.967300,0,20
C3,0.0000,31,0.782900,0,23
C3,0.0000,32,0.670000,0,24
C3,0.0000,33,0.320000,0,22
C3,0.0000,34,0.796000,0,24
C3,0.0000,35,0.470100,0,24
C3,0.0000,36,0.702800,0,22
C3,0.0000,37,0.999400,0,15
C3,0.0000,38,0.967300,0,20
C3,0.0000,39,0.999600,0,15
C3,0.0000,40,0.230100,0,25
C3,0.0000,41,0.967300,0,20
C3,0.0000,42,0.210800,0,24
C3,0.0000,43,0.504000,0,21
C3,0.0000,44,0.791100,0,23
C3,0.0000,45,0.147000,0,20
C3,0.0000,46,0.848900,0,23
C3,0.0000,47,1.000000,0,15
C3,0.0000,48,0.273600,0,22
C3,0.0000,49,0.982400,0,18
C3,0.0000,50,0.749600,0,23
C3,0.0000,51,0.685500,0,23
C3,0.0000,52,0.918000,0,20
C3,0.0000,53,0.776200,0,21
C3,0.0000,54,0.997700,0,17
C3,0.0000,55,0.776200,0,21
C3,0.0000,56,0.841700,0,23
C3,0.0000,57,0.999400,0,15
C3,0.0000,58,0.338500,0,22
C3,0.0000,59,0.999200,0,15
C3,0.0000,60,0.634700,0,24
C3,0.0000,61,0.999400,0,15
C3,0.0000,62,0.380700,0,23
C3,0.0000,63,0.997700,0,17
C3,0.0000,64,0.718800,0,22
C3,0.0000,65,0.478500,0,23
C3,0.0000,66,0.718800,0,22
C3,0.0000,67,0.320000,0,22
C3,0.0000,68,0.769700,0,23
C3,0.0000,69,0.147000,0,20
C3,0.0000,70,0.684400,0,21
C3,0.0000,71,0.999600,0,15
C3,0.0000,72,0.982400,0,18
C3,0.0000,73,0.836700,0,21
C3,0.0000,74,0.415100,0,23
C3,0.0000,75,0.684400,0,21
C3,0.0000,76,0.560000,0,24
C3,0.0000,77,0.778900,0,22
C3,0.0000,78,0.972500,0,18
C3,0.0000,79,0.789000,0,24
C3,0.0000,80,0.034900,1,19
C3,0.0000,81,0.999600,0,15
C3,0.0000,82,0.986000,0,16
C3,0.0000,83,0.128200,0,20
C3,0.0000,84,0.836700,0,21
C3,0.0000,85,0.918000,0,20
C3,0.0000,86,0.885300,0,23
C3,0.0000,87,0.436500,0,23
C3,0.0000,88,0.989500,0,18
C3,0.0000,89,0.583400,0,24
C3,0.0000,90,0.415100,0,23
C3,0.0000,91,0.836700,0,21
C3,0.0000,92,0.984900,0,18
C3,0.0000,93,0.999200,0,15
C3,0.0000,94,0.782900,0,23
C3,0.0000,95,0.854400,0,21
C3,0.0000,96,0.997700,0,17
C3,0.0000,97,0.836700,0,21
C3,0.0000,98,0.999200,0,15
C3,0.0000,99,0.634700,0,24
C3,0.0200,0,0.443500,0,314
C3,0.0200,1,0.209300,0,275
C3,0.0200,2,0.869500,0,369
C3,0.0200,3,0.556700,0,316
C3,0.0200,4,0.759800,0,368
C3,0.0200,5,0.291700,0,280
C3,0.0200,6,0.218800,0,302
C3,0.0200,7,0.895900,0,345
C3,0.0200,8,0.999400,0,370
C3,0.0200,9,0.651100,0,337
C3,0.0200,10,0.761400,0,397
C3,0.0200,11,0.332200,0,272
C3,0.0200,12,0.867700,0,373
C3,0.0200,13,0.907100,0,350
C3,0.0200,14,0.403400,0,295
C3,0.0200,15,0.670700,0,369
C3,0.0200,16,0.999200,0,380
C3,0.0200,17,0.999600,0,323
C3,0.0200,18,0.414800,0,333
C3,0.0200,19,0.368700,0,302
C3,0.0200,20,0.822500,0,344
C3,0.0200,21,0.999600,0,379
C3,0.0200,22,0.988600,0,342
C3,0.0200,23,0.832400,0,354
C3,0.0200,24,0.119400,0,204
C3,0.0200,25,0.983700,0,358
C3,0.0200,26,0.999500,0,357
C3,0.0200,27,0.831800,0,379
C3,0.0200,28,0.491800,0,352
C3,0.0200,29,0.999500,0,367
C3,0.0200,30,0.984700,0,344
C3,0.0200,31,0.505100,0,332
C3,0.0200,32,0.814800,0,312
C3,0.0200,33,0.204700,0,235
C3,0.0200,34,0.505600,0,333
C3,0.0200,35,0.342600,0,272
C3,0.0200,36,0.947800,0,332
C3,0.0200,37,0.817500,0,356
C3,0.0200,38,0.864100,0,371
C3,0.0200,39,0.983200,0,329
C3,0.0200,40,0.427300,0,301
C3,0.0200,41,0.670300,0,302
C3,0.0200,42,0.652100,0,318
C3,0.0200,43,0.999100,0,348
C3,0.0200,44,0.225400,0,268
C3,0.0200,45,0.606500,0,325
C3,0.0200,46,0.997300,0,327
C3,0.0200,47,0.355700,0,322
C3,0.0200,48,0.169700,0,284
C3,0.0200,49,0.295800,0,266
C3,0.0200,50,0.909100,0,321
C3,0.0200,51,0.554000,0,357
C3,0.0200,52,0.999100,0,314
C3,0.0200,53,0.999700,0,363
C3,0.0200,54,0.984100,0,365
C3,0.0200,55,0.204500,0,284
C3,0.0200,56,1.000000,0,328
C3,0.0200,57,0.947900,0,373
C3,0.0200,58,0.984400,0,374
C3,0.0200,59,0.134100,0,269
C3,0.0200,60,0.242100,0,288
C3,0.0200,61,0.988100,0,318
C3,0.0200,62,0.864500,0,372
C3,0.0200,63,0.366900,0,326
C3,0.0200,64,0.763300,0,353
C3,0.0200,65,0.370500,0,324
C3,0.0200,66,0.294000,0,315
C3,0.0200,67,0.892300,0,345
C3,0.0200,68,0.000100,1,1
C3,0.0200,69,0.997300,0,357
C3,0.0200,70,0.366800,0,248
C3,0.0200,71,0.983200,0,332
C3,0.0200,72,0.753500,0,322
C3,0.0200,73,0.616100,0,304
C3,0.0200,74,0.871500,0,320
C3,0.0200,75,0.664500,0,326
C3,0.0200,76,0.996600,0,348
C3,0.0200,77,0.745500,0,348
C3,0.0200,78,0.833900,0,373
C3,0.0200,79,0.822300,0,377
C3,0.0200,80,0.999400,0,382
C3,0.0200,81,0.296500,0,324
C3,0.0200,82,1.000000,0,333
C3,0.0200,83,0.294500,0,280
C3,0.0200,84,0.999300,0,382
C3,0.0200,85,0.675400,0,332
C3,0.0200,86,0.831600,0,336
C3,0.0200,87,0.297700,0,307
C3,0.0200,88,0.396000,0,335
C3,0.0200,89,0.496200,0,322
C3,0.0200,90,1.000000,0,377
C3,0.0200,91,0.840000,0,335
C3,0.0200,92,0.752300,0,367
C3,0.0200,93,0.783300,0,328
C3,0.0200,94,0.637800,0,311
C3,0.0200,95,0.431400,0,353
C3,0.0200,96,0.382000,0,319
C3,0.0200,97,0.301700,0,300
C3,0.0200,98,0.999600,0,326
C3,0.0200,99,0.999300,0,300
C3,0.0400,0,0.798000,0,200
C3,0.0400,1,0.693900,0,173
C3,0.0400,2,0.996700,0,179
C3,0.0400,3,0.794600,0,195
C3,0.0400,4,0.999600,0,200
C3,0.0400,5,0.387000,0,176
C3,0.0400,6,0.810100,0,190
C3,0.0400,7,0.900500,0,183
C3,0.0400,8,0.285800,0,169
C3,0.0400,9,0.382400,0,167
C3,0.0400,10,0.392500,0,179
C3,0.0400,11,0.655400,0,207
C3,0.0400,12,0.496500,0,201
C3,0.0400,13,0.999500,0,192
C3,0.0400,14,0.000100,1,1
C3,0.0400,15,0.480200,0,194
C3,0.0400,16,0.311800,0,158
C3,0.0400,17,0.999700,0,208
C3,0.0400,18,0.470600,0,194
C3,0.0400,19,0.000100,1,1
C3,0.0400,20,0.936500,0,192
C3,0.0400,21,0.397600,0,175
C3,0.0400,22,0.630000,0,198
C3,0.0400,23,0.765100,0,190
C3,0.0400,24,0.999900,0,183
C3,0.0400,25,0.999400,0,199
C3,0.0400,26,0.995600,0,205
C3,0.0400,27,0.889100,0,234
C3,0.0400,28,0.999200,0,182
C3,0.0400,29,0.998500,0,197
C3,0.0400,30,0.745600,0,171
C3,0.0400,31,0.986900,0,210
C3,0.0400,32,1.000000,0,197
C3,0.0400,33,0.755800,0,206
C3,0.0400,34,0.536600,0,196
C3,0.0400,35,0.947700,0,179
C3,0.0400,36,0.631900,0,190
C3,0.0400,37,0.999000,0,214
C3,0.0400,38,0.894500,0,209
C3,0.0400,39,0.981900,0,214
C3,0.0400,40,0.984700,0,192
C3,0.0400,41,0.999000,0,220
C3,0.0400,42,0.363500,0,176
C3,0.0400,43,0.999300,0,216
C3,0.0400,44,0.857000,0,186
C3,0.0400,45,0.999600,0,186
C3,0.0400,46,0.432600,0,178
C3,0.0400,47,0.998700,0,191
C3,0.0400,48,0.531100,0,181
C3,0.0400,49,0.371500,0,184
C3,0.0400,50,0.472100,0,190
C3,0.0400,51,0.799100,0,208
C3,0.0400,52,0.814700,0,203
C3,0.0400,53,0.897000,0,225
C3,0.0400,54,0.129500,0,163
C3,0.0400,55,0.736600,0,215
C3,0.0400,56,0.711100,0,182
C3,0.0400,57,0.999100,0,184
C3,0.0400,58,0.763900,0,209
C3,0.0400,59,0.999700,0,203
C3,0.0400,60,0.837600,0,196
C3,0.0400,61,0.999500,0,204
C3,0.0400,62,0.880200,0,190
C3,0.0400,63,0.999900,0,193
C3,0.0400,64,0.957600,0,229
C3,0.0400,65,0.000100,1,1
C3,0.0400,66,0.051100,1,123
C3,0.0400,67,0.999600,0,227
C3,0.0400,68,0.859500,0,216
C3,0.0400,69,0.733700,0,194
C3,0.0400,70,0.681800,0,212
C3,0.0400,71,0.623500,0,195
C3,0.0400,72,0.438600,0,194
C3,0.0400,73,0.103700,0,143
C3,0.0400,74,0.590600,0,179
C3,0.0400,75,0.997200,0,189
C3,0.0400,76,0.808600,0,184
C3,0.0400,77,0.894200,0,191
C3,0.0400,78,0.997900,0,193
C3,0.0400,79,0.391900,0,193
C3,0.0400,80,0.819400,0,198
C3,0.0400,81,0.815300,0,223
C3,0.0400,82,0.812900,0,203
C3,0.0400,83,0.821300,0,211
C3,0.0400,84,0.724500,0,173
C3,0.0400,85,0.642600,0,183
C3,0.0400,86,0.996700,0,182
C3,0.0400,87,0.813700,0,186
C3,0.0400,88,0.759100,0,197
C3,0.0400,89,0.493900,0,172
C3,0.0400,90,0.744000,0,176
C3,0.0400,91,0.334000,0,154
C3,0.0400,92,0.575900,0,188
C3,0.0400,93,0.862300,0,193
C3,0.0400,94,0.652800,0,194
C3,0.0400,95,0.353200,0,181
C3,0.0400,96,0.901700,0,197
C3,0.0400,97,0.959000,0,203
C3,0.0400,98,0.311200,0,160
C3,0.0400,99,0.996600,0,212
C3,0.0600,0,0.000100,1,1
C3,0.0600,1,0.474500,0,144
C3,0.0600,2,0.883200,0,149
C3,0.0600,3,0.739700,0,139
C3,0.0600,4,0.490200,0,139
C3,0.0600,5,0.385100,0,124
C3,0.0600,6,0.211500,0,126
C3,0.0600,7,0.317400,0,151
C3,0.0600,8,0.224400,0,107
C3,0.0600,9,0.999300,0,142
C3,0.0600,10,0.999600,0,125
C3,0.0600,11,0.722400,0,148
C3,0.0600,12,0.321400,0,130
C3,0.0600,13,0.999100,0,157
C3,0.0600,14,0.990100,0,159
C3,0.0600,15,0.711000,0,155
C3,0.0600,16,0.863300,0,130
C3,0.0600,17,0.685700,0,136
C3,0.0600,18,0.630900,0,149
C3,0.0600,19,0.960000,0,156
C3,0.0600,20,0.980400,0,134
