condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
C6,0.0200,45,0.617400,0,338
C6,0.0200,46,0.956200,0,379
C6,0.0200,47,0.185400,0,270
C6,0.0200,48,0.552800,0,285
C6,0.0200,49,0.366400,0,262
C6,0.0200,50,0.869000,0,321
C6,0.0200,51,0.714800,0,308
C6,0.0200,52,0.966200,0,250
C6,0.0200,53,0.961600,0,373
C6,0.0200,54,0.943000,0,383
C6,0.0200,55,0.356600,0,287
C6,0.0200,56,0.967600,0,357
C6,0.0200,57,0.936000,0,378
C6,0.0200,58,0.958000,0,311
C6,0.0200,59,0.527400,0,337
C6,0.0200,60,0.849600,0,322
C6,0.0200,61,0.951200,0,341
C6,0.0200,62,0.691400,0,330
C6,0.0200,63,0.853600,0,350
C6,0.0200,64,0.749400,0,326
C6,0.0200,65,0.846800,0,366
C6,0.0200,66,0.369200,0,325
C6,0.0200,67,0.893200,0,317
C6,0.0200,68,0.000200,1,1
C6,0.0200,69,0.960800,0,378
C6,0.0200,70,0.839000,0,331
C6,0.0200,71,0.640600,0,327
C6,0.0200,72,0.662400,0,358
C6,0.0200,73,0.000200,1,1
C6,0.0200,74,0.820000,0,318
C6,0.0200,75,0.471600,0,346
C6,0.0200,76,0.962600,0,333
C6,0.0200,77,0.720400,0,334
C6,0.0200,78,0.781000,0,356
C6,0.0200,79,0.944600,0,341
C6,0.0200,80,0.960600,0,301
C6,0.0200,81,0.751600,0,310
C6,0.0200,82,0.955600,0,377
C6,0.0200,83,0.381600,0,315
C6,0.0200,84,0.884800,0,352
C6,0.0200,85,0.702200,0,329
C6,0.0200,86,0.946000,0,350
C6,0.0200,87,0.779200,0,360
C6,0.0200,88,0.733600,0,362
C6,0.0200,89,0.522200,0,340
C6,0.0200,90,0.968600,0,348
C6,0.0200,91,0.821600,0,348
C6,0.0200,92,0.742800,0,322
C6,0.0200,93,0.000200,1,1
C6,0.0200,94,0.660400,0,290
C6,0.0200,95,0.685200,0,379
C6,0.0200,96,0.531800,0,279
C6,0.0200,97,0.679800,0,346
C6,0.0200,98,0.974800,0,307
C6,0.0200,99,0.957400,0,358
C6,0.0400,0,0.836400,0,198
C6,0.0400,1,0.802000,0,153
C6,0.0400,2,0.952400,0,219
C6,0.0400,3,0.820200,0,193
C6,0.0400,4,0.910600,0,198
C6,0.0400,5,0.747600,0,229
C6,0.0400,6,0.839400,0,211
C6,0.0400,7,0.851800,0,235
C6,0.0400,8,0.739000,0,206
C6,0.0400,9,0.655400,0,191
C6,0.0400,10,0.608800,0,181
C6,0.0400,11,0.635000,0,197
C6,0.0400,12,0.779200,0,224
C6,0.0400,13,0.859400,0,201
C6,0.0400,14,0.000200,1,1
C6,0.0400,15,0.605600,0,204
C6,0.0400,16,0.558600,0,209
C6,0.0400,17,0.000200,1,1
C6,0.0400,18,0.830400,0,199
C6,0.0400,19,0.000200,1,1
C6,0.0400,20,0.918800,0,203
C6,0.0400,21,0.340400,0,198
C6,0.0400,22,0.629600,0,191
C6,0.0400,23,0.652400,0,176
C6,0.0400,24,0.963600,0,200
C6,0.0400,25,0.958000,0,193
C6,0.0400,26,0.936000,0,173
C6,0.0400,27,0.813400,0,204
C6,0.0400,28,0.959800,0,193
C6,0.0400,29,0.949400,0,211
C6,0.0400,30,0.641800,0,194
C6,0.0400,31,0.939400,0,214
C6,0.0400,32,0.956400,0,198
C6,0.0400,33,0.707600,0,203
C6,0.0400,34,0.727200,0,193
C6,0.0400,35,0.799800,0,176
C6,0.0400,36,0.869000,0,207
C6,0.0400,37,0.902000,0,187
C6,0.0400,38,0.828200,0,181
C6,0.0400,39,0.945800,0,228
C6,0.0400,40,0.844200,0,221
C6,0.0400,41,0.955800,0,206
C6,0.0400,42,0.717000,0,192
C6,0.0400,43,0.878800,0,181
C6,0.0400,44,0.751000,0,189
C6,0.0400,45,0.962800,0,206
C6,0.0400,46,0.762200,0,206
C6,0.0400,47,0.964400,0,205
C6,0.0400,48,0.561000,0,176
C6,0.0400,49,0.572600,0,163
C6,0.0400,50,0.173400,0,164
C6,0.0400,51,0.851400,0,185
C6,0.0400,52,0.619000,0,171
C6,0.0400,53,0.829200,0,219
C6,0.0400,54,0.332800,0,172
C6,0.0400,55,0.687400,0,207
C6,0.0400,56,0.732600,0,189
C6,0.0400,57,0.000200,1,1
C6,0.0400,58,0.507200,0,202
C6,0.0400,59,0.929600,0,213
C6,0.0400,60,0.735600,0,198
C6,0.0400,61,0.961400,0,185
C6,0.0400,62,0.826000,0,186
C6,0.0400,63,0.965600,0,202
C6,0.0400,64,0.947400,0,210
C6,0.0400,65,0.000200,1,1
C6,0.0400,66,0.174200,0,154
C6,0.0400,67,0.000200,1,1
C6,0.0400,68,0.647600,0,224
C6,0.0400,69,0.824800,0,198
C6,0.0400,70,0.888000,0,203
C6,0.0400,71,0.867200,0,218
C6,0.0400,72,0.604600,0,222
C6,0.0400,73,0.565000,0,179
C6,0.0400,74,0.635800,0,205
C6,0.0400,75,0.936400,0,201
C6,0.0400,76,0.931800,0,198
C6,0.0400,77,0.854000,0,201
C6,0.0400,78,0.941200,0,197
C6,0.0400,79,0.737400,0,212
C6,0.0400,80,0.816200,0,201
C6,0.0400,81,0.782600,0,204
C6,0.0400,82,0.902200,0,199
C6,0.0400,83,0.679800,0,198
C6,0.0400,84,0.776800,0,219
C6,0.0400,85,0.664200,0,197
C6,0.0400,86,0.966200,0,205
C6,0.0400,87,0.634000,0,176
C6,0.0400,88,0.686800,0,203
C6,0.0400,89,0.730600,0,180
C6,0.0400,90,0.735800,0,210
C6,0.0400,91,0.836800,0,198
C6,0.0400,92,0.724400,0,206
C6,0.0400,93,0.843400,0,222
C6,0.0400,94,0.653800,0,186
C6,0.0400,95,0.654200,0,158
C6,0.0400,96,0.722600,0,216
C6,0.0400,97,0.826800,0,196
C6,0.0400,98,0.498800,0,170
C6,0.0400,99,0.931600,0,221
C6,0.0600,0,0.000200,1,1
C6,0.0600,1,0.690600,0,164
C6,0.0600,2,0.765800,0,144
C6,0.0600,3,0.341000,0,114
C6,0.0600,4,0.411800,0,133
C6,0.0600,5,0.807800,0,153
C6,0.0600,6,0.804000,0,149
C6,0.0600,7,0.000200,1,1
C6,0.0600,8,0.572600,0,113
C6,0.0600,9,0.954800,0,148
C6,0.0600,10,0.916600,0,156
C6,0.0600,11,0.442800,0,141
C6,0.0600,12,0.620800,0,144
C6,0.0600,13,0.945800,0,159
C6,0.0600,14,0.941800,0,161
C6,0.0600,15,0.805600,0,143
C6,0.0600,16,0.786600,0,141
C6,0.0600,17,0.664600,0,161
C6,0.0600,18,0.553600,0,145
C6,0.0600,19,0.894200,0,141
C6,0.0600,20,0.937600,0,146
C6,0.0600,21,0.936200,0,131
C6,0.0600,22,0.931600,0,140
C6,0.0600,23,0.529000,0,158
C6,0.0600,24,0.000200,1,1
C6,0.0600,25,0.000200,1,1
C6,0.0600,26,0.607200,0,127
C6,0.0600,27,0.144800,0,96
C6,0.0600,28,0.000200,1,1
C6,0.0600,29,0.621000,0,142
C6,0.0600,30,0.894000,0,140
C6,0.0600,31,0.316200,0,133
C6,0.0600,32,0.944800,0,136
C6,0.0600,33,0.926000,0,161
C6,0.0600,34,0.793600,0,136
C6,0.0600,35,0.000200,1,1
C6,0.0600,36,0.671000,0,143
C6,0.0600,37,0.543600,0,144
C6,0.0600,38,0.616800,0,132
C6,0.0600,39,0.437200,0,146
C6,0.0600,40,0.907600,0,146
C6,0.0600,41,0.569600,0,144
C6,0.0600,42,0.628200,0,150
C6,0.0600,43,0.406600,0,131
C6,0.0600,44,0.890200,0,145
C6,0.0600,45,0.000200,1,1
C6,0.0600,46,0.728600,0,146
C6,0.0600,47,0.750800,0,153
C6,0.0600,48,0.116800,0,95
C6,0.0600,49,0.924200,0,146
C6,0.0600,50,0.953000,0,156
C6,0.0600,51,0.000200,1,1
C6,0.0600,52,0.657800,0,114
C6,0.0600,53,0.863600,0,141
C6,0.0600,54,0.946000,0,151
