condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
C1,0.0000,0,0.995000,0,15
C1,0.0000,1,0.978000,0,17
C1,0.0000,2,0.978000,0,17
C1,0.0000,3,1.000000,0,14
C1,0.0000,4,0.995000,0,15
C1,0.0000,5,0.997000,0,15
C1,0.0000,6,0.978000,0,17
C1,0.0000,7,1.000000,0,14
C1,0.0000,8,0.978000,0,17
C1,0.0000,9,0.993000,0,15
C1,0.0000,10,0.771000,0,18
C1,0.0000,11,0.993000,0,15
C1,0.0000,12,0.886000,0,16
C1,0.0000,13,0.993000,0,15
C1,0.0000,14,0.771000,0,18
C1,0.0000,15,0.995000,0,15
C1,0.0000,16,0.997000,0,15
C1,0.0000,17,0.996000,0,14
C1,0.0000,18,0.995000,0,15
C1,0.0000,19,0.917000,0,17
C1,0.0000,20,0.996000,0,14
C1,0.0000,21,0.996000,0,14
C1,0.0000,22,0.996000,0,14
C1,0.0000,23,1.000000,0,14
C1,0.0000,24,0.996000,0,14
C1,0.0000,25,0.978000,0,17
C1,0.0000,26,0.993000,0,15
C1,0.0000,27,0.996000,0,14
C1,0.0000,28,0.997000,0,15
C1,0.0000,29,0.995000,0,15
C1,0.0000,30,0.995000,0,15
C1,0.0000,31,0.771000,0,18
C1,0.0000,32,0.978000,0,17
C1,0.0000,33,0.997000,0,15
C1,0.0000,34,0.771000,0,18
C1,0.0000,35,1.000000,0,14
C1,0.0000,36,0.995000,0,15
C1,0.0000,37,0.993000,0,15
C1,0.0000,38,0.995000,0,15
C1,0.0000,39,0.996000,0,14
C1,0.0000,40,0.917000,0,17
C1,0.0000,41,0.995000,0,15
C1,0.0000,42,0.917000,0,17
C1,0.0000,43,0.978000,0,17
C1,0.0000,44,0.978000,0,17
C1,0.0000,45,0.354000,0,18
C1,0.0000,46,0.978000,0,17
C1,0.0000,47,0.993000,0,15
C1,0.0000,48,1.000000,0,14
C1,0.0000,49,0.995000,0,15
C1,0.0000,50,0.995000,0,15
C1,0.0000,51,0.917000,0,17
C1,0.0000,52,0.993000,0,15
C1,0.0000,53,0.886000,0,16
C1,0.0000,54,0.996000,0,14
C1,0.0000,55,0.886000,0,16
C1,0.0000,56,0.978000,0,17
C1,0.0000,57,0.993000,0,15
C1,0.0000,58,0.978000,0,17
C1,0.0000,59,0.996000,0,14
C1,0.0000,60,1.000000,0,14
C1,0.0000,61,0.993000,0,15
C1,0.0000,62,0.978000,0,17
C1,0.0000,63,0.996000,0,14
C1,0.0000,64,1.000000,0,14
C1,0.0000,65,0.997000,0,15
C1,0.0000,66,1.000000,0,14
C1,0.0000,67,0.997000,0,15
C1,0.0000,68,0.354000,0,18
C1,0.0000,69,0.354000,0,18
C1,0.0000,70,0.886000,0,16
C1,0.0000,71,0.996000,0,14
C1,0.0000,72,0.995000,0,15
C1,0.0000,73,0.993000,0,15
C1,0.0000,74,0.354000,0,18
C1,0.0000,75,0.886000,0,16
C1,0.0000,76,0.771000,0,18
C1,0.0000,77,0.978000,0,17
C1,0.0000,78,0.993000,0,15
C1,0.0000,79,0.886000,0,16
C1,0.0000,80,0.354000,0,18
C1,0.0000,81,0.996000,0,14
C1,0.0000,82,0.993000,0,15
C1,0.0000,83,0.354000,0,18
C1,0.0000,84,0.993000,0,15
C1,0.0000,85,0.993000,0,15
C1,0.0000,86,0.978000,0,17
C1,0.0000,87,1.000000,0,14
C1,0.0000,88,0.995000,0,15
C1,0.0000,89,0.886000,0,16
C1,0.0000,90,0.354000,0,18
C1,0.0000,91,0.993000,0,15
C1,0.0000,92,0.978000,0,17
C1,0.0000,93,0.996000,0,14
C1,0.0000,94,0.771000,0,18
C1,0.0000,95,0.886000,0,16
C1,0.0000,96,0.996000,0,14
C1,0.0000,97,0.993000,0,15
C1,0.0000,98,0.996000,0,14
C1,0.0000,99,1.000000,0,14
C1,0.0200,0,1.000000,0,245
C1,0.0200,1,0.915000,0,226
C1,0.0200,2,0.885000,0,219
C1,0.0200,3,1.000000,0,251
C1,0.0200,4,0.876000,0,219
C1,0.0200,5,0.910000,0,225
C1,0.0200,6,0.836000,0,235
C1,0.0200,7,0.992000,0,223
C1,0.0200,8,0.996000,0,209
C1,0.0200,9,0.978000,0,229
C1,0.0200,10,0.881000,0,212
C1,0.0200,11,1.000000,0,220
C1,0.0200,12,0.883000,0,208
C1,0.0200,13,0.992000,0,249
C1,0.0200,14,0.885000,0,221
C1,0.0200,15,0.882000,0,217
C1,0.0200,16,0.996000,0,273
C1,0.0200,17,0.996000,0,213
C1,0.0200,18,1.000000,0,235
C1,0.0200,19,0.977000,0,252
C1,0.0200,20,0.993000,0,257
C1,0.0200,21,0.996000,0,211
C1,0.0200,22,0.995000,0,194
C1,0.0200,23,0.977000,0,228
C1,0.0200,24,0.914000,0,212
C1,0.0200,25,0.992000,0,251
C1,0.0200,26,0.996000,0,225
C1,0.0200,27,0.881000,0,271
C1,0.0200,28,0.954000,0,241
C1,0.0200,29,0.996000,0,226
C1,0.0200,30,0.993000,0,217
C1,0.0200,31,0.885000,0,237
C1,0.0200,32,0.992000,0,224
C1,0.0200,33,0.353000,0,189
C1,0.0200,34,0.337000,0,175
C1,0.0200,35,0.917000,0,234
C1,0.0200,36,0.995000,0,197
C1,0.0200,37,0.762000,0,259
C1,0.0200,38,1.000000,0,214
C1,0.0200,39,0.977000,0,249
C1,0.0200,40,0.745000,0,173
C1,0.0200,41,0.985000,0,203
C1,0.0200,42,0.997000,0,230
C1,0.0200,43,0.996000,0,237
C1,0.0200,44,1.000000,0,250
C1,0.0200,45,1.000000,0,256
C1,0.0200,46,0.996000,0,268
C1,0.0200,47,0.759000,0,197
C1,0.0200,48,0.352000,0,203
C1,0.0200,49,0.916000,0,216
C1,0.0200,50,0.993000,0,244
C1,0.0200,51,0.881000,0,267
C1,0.0200,52,0.996000,0,218
C1,0.0200,53,0.993000,0,245
C1,0.0200,54,0.991000,0,243
C1,0.0200,55,0.911000,0,257
C1,0.0200,56,0.993000,0,227
C1,0.0200,57,0.995000,0,238
C1,0.0200,58,0.993000,0,212
C1,0.0200,59,0.344000,0,188
C1,0.0200,60,1.000000,0,240
C1,0.0200,61,0.994000,0,225
C1,0.0200,62,1.000000,0,242
C1,0.0200,63,0.978000,0,230
C1,0.0200,64,0.886000,0,262
C1,0.0200,65,0.973000,0,214
C1,0.0200,66,0.911000,0,213
C1,0.0200,67,0.995000,0,240
C1,0.0200,68,0.001000,1,1
C1,0.0200,69,0.996000,0,262
C1,0.0200,70,0.976000,0,248
C1,0.0200,71,0.975000,0,229
C1,0.0200,72,0.997000,0,196
C1,0.0200,73,0.768000,0,197
C1,0.0200,74,0.884000,0,163
C1,0.0200,75,0.904000,0,235
C1,0.0200,76,0.976000,0,246
C1,0.0200,77,0.879000,0,205
C1,0.0200,78,0.956000,0,228
C1,0.0200,79,0.990000,0,248
C1,0.0200,80,0.996000,0,200
C1,0.0200,81,0.997000,0,230
C1,0.0200,82,0.993000,0,254
C1,0.0200,83,0.912000,0,235
C1,0.0200,84,0.995000,0,230
C1,0.0200,85,0.886000,0,242
C1,0.0200,86,0.993000,0,212
C1,0.0200,87,1.000000,0,205
C1,0.0200,88,0.880000,0,225
C1,0.0200,89,0.768000,0,228
C1,0.0200,90,0.991000,0,250
C1,0.0200,91,0.973000,0,280
C1,0.0200,92,0.977000,0,239
C1,0.0200,93,0.997000,0,213
C1,0.0200,94,0.997000,0,197
C1,0.0200,95,0.757000,0,258
C1,0.0200,96,0.332000,0,214
C1,0.0200,97,0.997000,0,223
C1,0.0200,98,0.995000,0,262
C1,0.0200,99,0.996000,0,258
C1,0.0400,0,0.992000,0,140
C1,0.0400,1,1.000000,0,159
C1,0.0400,2,0.996000,0,118
C1,0.0400,3,0.972000,0,136
C1,0.0400,4,0.992000,0,140
