condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
C4,0.0000,0,0.904600,0,20
C4,0.0000,1,0.861800,0,20
C4,0.0000,2,0.830000,0,21
C4,0.0000,3,0.714400,0,22
C4,0.0000,4,0.881600,0,20
C4,0.0000,5,0.705000,0,21
C4,0.0000,6,0.916200,0,20
C4,0.0000,7,0.647400,0,22
C4,0.0000,8,0.861800,0,20
C4,0.0000,9,0.882200,0,19
C4,0.0000,10,0.196200,0,20
C4,0.0000,11,0.969000,0,19
C4,0.0000,12,0.729400,0,20
C4,0.0000,13,0.953000,0,20
C4,0.0000,14,0.725600,0,21
C4,0.0000,15,0.811800,0,23
C4,0.0000,16,0.793400,0,21
C4,0.0000,17,0.961800,0,18
C4,0.0000,18,0.957200,0,19
C4,0.0000,19,0.651200,0,21
C4,0.0000,20,0.976600,0,17
C4,0.0000,21,0.932200,0,19
C4,0.0000,22,0.976600,0,17
C4,0.0000,23,0.817800,0,21
C4,0.0000,24,0.973400,0,18
C4,0.0000,25,0.861800,0,20
C4,0.0000,26,0.966600,0,19
C4,0.0000,27,0.961800,0,18
C4,0.0000,28,0.641000,0,22
C4,0.0000,29,0.811800,0,23
C4,0.0000,30,0.904600,0,20
C4,0.0000,31,0.761400,0,21
C4,0.0000,32,0.894400,0,20
C4,0.0000,33,0.705000,0,21
C4,0.0000,34,0.725600,0,21
C4,0.0000,35,0.817800,0,21
C4,0.0000,36,0.916200,0,20
C4,0.0000,37,0.969000,0,19
C4,0.0000,38,0.904600,0,20
C4,0.0000,39,0.932200,0,19
C4,0.0000,40,0.651200,0,21
C4,0.0000,41,0.904600,0,20
C4,0.0000,42,0.396200,0,24
C4,0.0000,43,0.861800,0,20
C4,0.0000,44,0.858400,0,22
C4,0.0000,45,0.542000,0,22
C4,0.0000,46,0.830000,0,21
C4,0.0000,47,0.974400,0,17
C4,0.0000,48,0.879600,0,20
C4,0.0000,49,0.811800,0,23
C4,0.0000,50,0.881600,0,20
C4,0.0000,51,0.490400,0,21
C4,0.0000,52,0.882200,0,19
C4,0.0000,53,0.729400,0,20
C4,0.0000,54,0.961800,0,18
C4,0.0000,55,0.729400,0,20
C4,0.0000,56,0.858400,0,22
C4,0.0000,57,0.969000,0,19
C4,0.0000,58,0.858400,0,22
C4,0.0000,59,0.973400,0,18
C4,0.0000,60,0.817800,0,21
C4,0.0000,61,0.969000,0,19
C4,0.0000,62,0.861800,0,20
C4,0.0000,63,0.961800,0,18
C4,0.0000,64,0.830200,0,21
C4,0.0000,65,0.793400,0,21
C4,0.0000,66,0.830200,0,21
C4,0.0000,67,0.705000,0,21
C4,0.0000,68,0.482800,0,22
C4,0.0000,69,0.482800,0,22
C4,0.0000,70,0.701800,0,23
C4,0.0000,71,0.976600,0,17
C4,0.0000,72,0.811800,0,23
C4,0.0000,73,0.953000,0,20
C4,0.0000,74,0.554200,0,21
C4,0.0000,75,0.701800,0,23
C4,0.0000,76,0.761400,0,21
C4,0.0000,77,0.773800,0,22
C4,0.0000,78,0.953000,0,20
C4,0.0000,79,0.701800,0,23
C4,0.0000,80,0.554200,0,21
C4,0.0000,81,0.932200,0,19
C4,0.0000,82,0.965400,0,18
C4,0.0000,83,0.589400,0,24
C4,0.0000,84,0.953000,0,20
C4,0.0000,85,0.882200,0,19
C4,0.0000,86,0.894400,0,20
C4,0.0000,87,0.714400,0,22
C4,0.0000,88,0.957200,0,19
C4,0.0000,89,0.739600,0,22
C4,0.0000,90,0.554200,0,21
C4,0.0000,91,0.882200,0,19
C4,0.0000,92,0.830000,0,21
C4,0.0000,93,0.965800,0,19
C4,0.0000,94,0.761400,0,21
C4,0.0000,95,0.737600,0,21
C4,0.0000,96,0.961800,0,18
C4,0.0000,97,0.953000,0,20
C4,0.0000,98,0.973400,0,18
C4,0.0000,99,0.641000,0,22
C4,0.0200,0,0.791200,0,331
C4,0.0200,1,0.384600,0,237
C4,0.0200,2,0.696800,0,276
C4,0.0200,3,0.641200,0,282
C4,0.0200,4,0.670600,0,301
C4,0.0200,5,0.352200,0,305
C4,0.0200,6,0.632400,0,292
C4,0.0200,7,0.863600,0,271
C4,0.0200,8,0.958800,0,288
C4,0.0200,9,0.889200,0,357
C4,0.0200,10,0.585200,0,272
C4,0.0200,11,0.871000,0,340
C4,0.0200,12,0.706000,0,305
C4,0.0200,13,0.877000,0,319
C4,0.0200,14,0.759600,0,250
C4,0.0200,15,0.687000,0,276
C4,0.0200,16,0.969200,0,334
C4,0.0200,17,0.912000,0,339
C4,0.0200,18,0.699200,0,297
C4,0.0200,19,0.850600,0,304
C4,0.0200,20,0.942600,0,285
C4,0.0200,21,0.924000,0,295
C4,0.0200,22,0.950400,0,305
C4,0.0200,23,0.850600,0,334
C4,0.0200,24,0.465000,0,255
C4,0.0200,25,0.960800,0,333
C4,0.0200,26,0.974200,0,269
C4,0.0200,27,0.716000,0,304
C4,0.0200,28,0.848200,0,298
C4,0.0200,29,0.974200,0,321
C4,0.0200,30,0.961000,0,322
C4,0.0200,31,0.749800,0,288
C4,0.0200,32,0.947600,0,292
C4,0.0200,33,0.578600,0,277
C4,0.0200,34,0.505600,0,246
C4,0.0200,35,0.481400,0,282
C4,0.0200,36,0.934400,0,285
C4,0.0200,37,0.716200,0,281
C4,0.0200,38,0.698200,0,295
C4,0.0200,39,0.822000,0,302
C4,0.0200,40,0.712000,0,303
C4,0.0200,41,0.909400,0,297
C4,0.0200,42,0.661000,0,255
C4,0.0200,43,0.969400,0,320
C4,0.0200,44,0.873600,0,307
C4,0.0200,45,0.622600,0,293
C4,0.0200,46,0.956800,0,319
C4,0.0200,47,0.185200,0,217
C4,0.0200,48,0.565400,0,286
C4,0.0200,49,0.391400,0,264
C4,0.0200,50,0.875400,0,309
C4,0.0200,51,0.726200,0,280
C4,0.0200,52,0.970200,0,296
C4,0.0200,53,0.964400,0,354
C4,0.0200,54,0.962000,0,339
C4,0.0200,55,0.375600,0,251
C4,0.0200,56,0.970800,0,303
C4,0.0200,57,0.938000,0,347
C4,0.0200,58,0.960400,0,310
C4,0.0200,59,0.527800,0,303
C4,0.0200,60,0.854000,0,303
C4,0.0200,61,0.953200,0,284
C4,0.0200,62,0.702800,0,293
C4,0.0200,63,0.850600,0,283
C4,0.0200,64,0.759400,0,260
C4,0.0200,65,0.854000,0,285
C4,0.0200,66,0.390000,0,274
C4,0.0200,67,0.929600,0,332
C4,0.0200,68,0.000200,1,1
C4,0.0200,69,0.963600,0,324
C4,0.0200,70,0.846000,0,319
C4,0.0200,71,0.653800,0,299
C4,0.0200,72,0.666800,0,298
C4,0.0200,73,0.701800,0,293
C4,0.0200,74,0.816600,0,298
C4,0.0200,75,0.475600,0,279
C4,0.0200,76,0.967800,0,279
C4,0.0200,77,0.727000,0,289
C4,0.0200,78,0.818600,0,325
C4,0.0200,79,0.946000,0,314
C4,0.0200,80,0.965200,0,309
C4,0.0200,81,0.747200,0,318
C4,0.0200,82,0.959600,0,323
C4,0.0200,83,0.352600,0,279
C4,0.0200,84,0.893200,0,330
C4,0.0200,85,0.700200,0,327
C4,0.0200,86,0.944600,0,329
C4,0.0200,87,0.780200,0,275
C4,0.0200,88,0.748000,0,309
C4,0.0200,89,0.515200,0,318
C4,0.0200,90,0.972800,0,294
C4,0.0200,91,0.817800,0,288
C4,0.0200,92,0.743000,0,315
C4,0.0200,93,0.634400,0,297
C4,0.0200,94,0.655200,0,283
C4,0.0200,95,0.697400,0,349
C4,0.0200,96,0.526200,0,287
C4,0.0200,97,0.689600,0,308
C4,0.0200,98,0.974800,0,312
C4,0.0200,99,0.965200,0,347
C4,0.0400,0,0.856000,0,187
C4,0.0400,1,0.807600,0,169
C4,0.0400,2,0.956800,0,182
C4,0.0400,3,0.827000,0,166
C4,0.0400,4,0.956200,0,183
C4,0.0400,5,0.767000,0,186
C4,0.0400,6,0.862000,0,190
C4,0.0400,7,0.857400,0,172
C4,0.0400,8,0.747800,0,177
C4,0.0400,9,0.727800,0,180
C4,0.0400,10,0.607200,0,168
C4,0.0400,11,0.634800,0,166
C4,0.0400,12,0.800600,0,189
C4,0.0400,13,0.892200,0,174
C4,0.0400,14,0.000200,1,1
C4,0.0400,15,0.608600,0,191
C4,0.0400,16,0.661800,0,167
C4,0.0400,17,0.904600,0,174
C4,0.0400,18,0.835200,0,161
C4,0.0400,19,0.000200,1,1
C4,0.0400,20,0.926600,0,180
C4,0.0400,21,0.364800,0,150
C4,0.0400,22,0.608800,0,180
C4,0.0400,23,0.662400,0,154
C4,0.0400,24,0.970200,0,192
C4,0.0400,25,0.961200,0,179
C4,0.0400,26,0.954400,0,198
C4,0.0400,27,0.837800,0,195
C4,0.0400,28,0.961000,0,168
C4,0.0400,29,0.964000,0,175
C4,0.0400,30,0.717000,0,185
C4,0.0400,31,0.952000,0,209
C4,0.0400,32,0.953800,0,183
C4,0.0400,33,0.747400,0,181
C4,0.0400,34,0.735600,0,188
C4,0.0400,35,0.837000,0,198
C4,0.0400,36,0.890800,0,164
C4,0.0400,37,0.946800,0,197
C4,0.0400,38,0.851600,0,194
C4,0.0400,39,0.950400,0,171
C4,0.0400,40,0.865200,0,190
C4,0.0400,41,0.954600,0,179
C4,0.0400,42,0.710200,0,164
C4,0.0400,43,0.963600,0,183
C4,0.0400,44,0.809600,0,177
C4,0.0400,45,0.970000,0,196
C4,0.0400,46,0.764600,0,190
C4,0.0400,47,0.966800,0,185
C4,0.0400,48,0.619000,0,156
C4,0.0400,49,0.607600,0,197
C4,0.0400,50,0.182400,0,163
C4,0.0400,51,0.856800,0,188
C4,0.0400,52,0.673400,0,183
C4,0.0400,53,0.861400,0,179
C4,0.0400,54,0.368000,0,163
C4,0.0400,55,0.708000,0,186
C4,0.0400,56,0.759400,0,203
C4,0.0400,57,0.968400,0,193
C4,0.0400,58,0.506400,0,163
C4,0.0400,59,0.954400,0,206
C4,0.0400,60,0.733600,0,190
C4,0.0400,61,0.967600,0,209
C4,0.0400,62,0.838800,0,191
C4,0.0400,63,0.964600,0,204
C4,0.0400,64,0.943600,0,190
C4,0.0400,65,0.000200,1,1
C4,0.0400,66,0.172400,0,146
C4,0.0400,67,0.970000,0,180
C4,0.0400,68,0.675400,0,144
C4,0.0400,69,0.842200,0,163
C4,0.0400,70,0.900000,0,197
C4,0.0400,71,0.868400,0,181
C4,0.0400,72,0.611800,0,175
C4,0.0400,73,0.558800,0,170
C4,0.0400,74,0.706200,0,176
C4,0.0400,75,0.951000,0,176
C4,0.0400,76,0.941800,0,182
C4,0.0400,77,0.862800,0,184
C4,0.0400,78,0.948400,0,201
C4,0.0400,79,0.774800,0,185
C4,0.0400,80,0.834400,0,179
C4,0.0400,81,0.825800,0,189
C4,0.0400,82,0.907200,0,170
C4,0.0400,83,0.696800,0,189
C4,0.0400,84,0.783000,0,175
C4,0.0400,85,0.669400,0,208
C4,0.0400,86,0.965600,0,187
C4,0.0400,87,0.650400,0,175
C4,0.0400,88,0.694000,0,189
C4,0.0400,89,0.743600,0,177
C4,0.0400,90,0.742800,0,185
C4,0.0400,91,0.839000,0,192
C4,0.0400,92,0.740000,0,182
C4,0.0400,93,0.859400,0,169
C4,0.0400,94,0.633400,0,201
C4,0.0400,95,0.689200,0,180
C4,0.0400,96,0.801200,0,180
C4,0.0400,97,0.878800,0,171
C4,0.0400,98,0.484800,0,182
C4,0.0400,99,0.956000,0,178
C4,0.0600,0,0.000200,1,1
C4,0.0600,1,0.701400,0,151
C4,0.0600,2,0.855800,0,139
C4,0.0600,3,0.544800,0,121
C4,0.0600,4,0.474400,0,122
C4,0.0600,5,0.830200,0,128
C4,0.0600,6,0.837600,0,122
C4,0.0600,7,0.700600,0,138
C4,0.0600,8,0.639800,0,131
C4,0.0600,9,0.964800,0,128
C4,0.0600,10,0.952400,0,125
C4,0.0600,11,0.461600,0,121
C4,0.0600,12,0.721600,0,128
C4,0.0600,13,0.949600,0,130
C4,0.0600,14,0.949600,0,138
C4,0.0600,15,0.859800,0,129
C4,0.0600,16,0.850800,0,121
C4,0.0600,17,0.779400,0,151
C4,0.0600,18,0.714200,0,126
C4,0.0600,19,0.933600,0,132
C4,0.0600,20,0.952000,0,139
C4,0.0600,21,0.949000,0,134
C4,0.0600,22,0.937200,0,135
C4,0.0600,23,0.581600,0,127
C4,0.0600,24,0.635800,0,121
C4,0.0600,25,0.676000,0,130
C4,0.0600,26,0.649200,0,142
C4,0.0600,27,0.136800,0,105
C4,0.0600,28,0.000200,1,1
C4,0.0600,29,0.694600,0,114
C4,0.0600,30,0.937800,0,123
C4,0.0600,31,0.458200,0,124
C4,0.0600,32,0.964200,0,135
C4,0.0600,33,0.938200,0,137
C4,0.0600,34,0.814600,0,120
C4,0.0600,35,0.843600,0,139
C4,0.0600,36,0.692600,0,113
C4,0.0600,37,0.606000,0,136
C4,0.0600,38,0.575400,0,128
C4,0.0600,39,0.646200,0,133
C4,0.0600,40,0.941600,0,154
C4,0.0600,41,0.567400,0,135
C4,0.0600,42,0.711200,0,131
C4,0.0600,43,0.404800,0,139
C4,0.0600,44,0.893400,0,132
C4,0.0600,45,0.942400,0,129
C4,0.0600,46,0.785000,0,110
C4,0.0600,47,0.732200,0,127
C4,0.0600,48,0.139800,0,104
C4,0.0600,49,0.943800,0,135
C4,0.0600,50,0.969400,0,129
C4,0.0600,51,0.942400,0,134
C4,0.0600,52,0.691800,0,115
C4,0.0600,53,0.866800,0,131
C4,0.0600,54,0.951400,0,129
